test_er	,	test_acc
0.00019812429673038423	,	1.0
0.000255955004831776	,	1.0
0.0021814575884491205	,	1.0
0.04038458317518234	,	1.0
0.004931982606649399	,	1.0
0.0024123433977365494	,	1.0
3.0158338631736115e-05	,	1.0
0.0004110355512239039	,	1.0
3.0588285881094635e-05	,	1.0
0.0608074888586998	,	1.0
2.1671732611139305e-05	,	1.0
4.636732774088159e-05	,	1.0
0.028373578563332558	,	1.0
0.03632833808660507	,	1.0
3.161223867209628e-05	,	1.0
0.00037152174627408385	,	1.0
4.3153481783519965e-06	,	1.0
4.122098835068755e-05	,	1.0
1.907348377017115e-07	,	1.0
0.016082871705293655	,	1.0
0.00045628711814060807	,	1.0
1.714164318400435e-05	,	1.0
1.8166985682910308e-05	,	1.0
2.8990620194235817e-05	,	1.0
4.381833059596829e-05	,	1.0
1.3878310918807983	,	0.6000000238418579
5.984264589642407e-06	,	1.0
3.313746128696948e-05	,	1.0
1.8238550183014013e-05	,	1.0
0.009584846906363964	,	1.0
3.385358286323026e-05	,	1.0
0.8255756497383118	,	0.800000011920929
0.0012126399669796228	,	1.0
7.476161408703774e-05	,	1.0
1.4305089734989451e-06	,	1.0
0.04801902920007706	,	1.0
2.694114982659812e-06	,	1.0
3.330522667965852e-05	,	1.0
0.0018960842862725258	,	1.0
0.0015789767494425178	,	1.0
0.00028672345797531307	,	1.0
0.004160707350820303	,	1.0
0.012460632249712944	,	1.0
0.0027093179523944855	,	1.0
0.0002917730307672173	,	1.0
0.002075847703963518	,	1.0
0.012830602005124092	,	1.0
0.010539500042796135	,	1.0
6.417662370949984e-05	,	1.0
0.0005895643844269216	,	1.0
0.002643976593390107	,	1.0
0.00015258077473845333	,	1.0
0.004779550712555647	,	1.0
0.0012532433029264212	,	1.0
0.0001904543023556471	,	1.0
0.00040753959910944104	,	1.0
0.003403702285140753	,	1.0
0.00017643188766669482	,	1.0
0.4362207055091858	,	0.800000011920929
1.549718035676051e-06	,	1.0
1.1920926823449918e-07	,	1.0
4.7729077778058127e-05	,	1.0
0.8207319378852844	,	0.800000011920929
0.000316934019792825	,	1.0
1.3398950613918714e-05	,	1.0
1.2850601706304587e-05	,	1.0
0.0003802286519203335	,	1.0
3.6214150895830244e-05	,	1.0
0.00045950370258651674	,	1.0
0.0042119985446333885	,	1.0
0.004019156098365784	,	1.0
0.0015636531170457602	,	1.0
0.0005115230451337993	,	1.0
0.7217462658882141	,	0.800000011920929
0.00017514599312562495	,	1.0
0.006272887345403433	,	1.0
0.00013579298683907837	,	1.0
6.584532093256712e-05	,	1.0
0.4065449833869934	,	0.800000011920929
0.00047548022121191025	,	1.0
0.00012793470523320138	,	1.0
0.020159071311354637	,	1.0
1.590221290825866e-05	,	1.0
0.002318016719073057	,	1.0
0.5167242288589478	,	0.800000011920929
0.0011504546273499727	,	1.0
0.04501492530107498	,	1.0
0.0011663639452308416	,	1.0
7.72471321397461e-06	,	1.0
0.003326925914734602	,	1.0
